Designator,Mid X,Mid Y,Rotation,Layer
BT1,169.575,-113.1,180.0,top
C1,112.05,-103.725,0.0,top
C10,125.225,-103.39,0.0,top
C11,125.225,-104.9,0.0,top
C12,189.69,-122.52,90.0,top
C13,179.875,-97.875,270.0,top
C14,140.75,-117.1,270.0,top
C15,135.325,-82.385,270.0,top
C16,137.15,-82.385,270.0,top
C17,142.95,-109.925,90.0,top
C2,99.3825,-99.825,0.0,top
C3,118.025,-99.525,90.0,top
C4,193.175,-83.71,270.0,top
C5,104.1925,-129.2,0.0,top
C6,95.525,-108.175,180.0,top
C7,129.775,-98.1,180.0,top
C8,121.275,-98.5,270.0,top
C9,155.45,-115.66,90.0,top
D1,109.975,-88.645,90.0,top
D2,113.825,-88.645,90.0,top
D3,127.985,-127.9,0.0,top
D4,95.75,-91.9,0.0,top
D5,95.75,-90.25,0.0,top
D6,101.55,-108.175,180.0,top
F1,104.4,-91.06,0.0,top
J1,100.15,-84.525,270.0,top
J2,113.825,-77.36,180.0,top
J3,198.575,-86.075,90.0,top
J4,118.38,-123.85,0.0,top
J5,198.575,-97.625,90.0,top
J6,193.255,-115.495,90.0,top
J7,183.97,-117.06,180.0,bottom
L1,104.2,-116.025,270.0,top
L2,135.675,-100.3,90.0,top
M1,127.9575,-131.78,90.0,top
Q1,132.425,-122.2625,0.0,top
R1,114.675,-106.0,90.0,top
R10,135.525,-122.35,90.0,top
R11,117.73625,-106.0,270.0,top
R12,98.775,-91.9,0.0,top
R13,166.875,-92.45,180.0,top
R14,98.775,-90.25,0.0,top
R15,166.875,-90.925,180.0,top
R16,166.875,-87.875,180.0,top
R17,178.75,-84.485,0.0,top
R18,178.75,-86.375,0.0,top
R19,178.75,-88.295,0.0,top
R2,116.325,-95.0,270.0,top
R20,125.225,-96.95,0.0,top
R21,157.025,-114.06,90.0,top
R22,178.75,-82.95,180.0,top
R23,166.875,-89.4,180.0,top
R24,166.875,-93.975,180.0,top
R25,189.69,-110.07,270.0,top
R26,191.525,-94.3,90.0,top
R27,138.85,-109.925,270.0,top
R28,137.325,-109.925,270.0,top
R29,162.85,-97.575,90.0,top
R3,113.325,-95.0,270.0,top
R30,155.475,-108.275,90.0,top
R31,144.525,-108.325,90.0,top
R32,157.025,-109.925,270.0,top
R33,135.325,-90.295,270.0,top
R34,193.175,-94.3,90.0,top
R35,193.175,-89.4,270.0,top
R4,114.825,-95.0,270.0,top
R5,108.3,-101.7375,0.0,top
R6,116.21125,-106.0,90.0,top
R7,137.375,-122.35,270.0,top
R8,122.275,-79.1,180.0,top
R9,122.275,-77.575,0.0,top
SW1,138.395,-130.15,180.0,top
SW10,185.275,-79.825,0.0,top
SW2,150.115,-130.15,180.0,top
SW3,91.1,-117.72,90.0,top
SW4,161.835,-130.15,180.0,top
SW5,173.555,-130.15,180.0,top
SW6,185.275,-130.15,180.0,top
SW7,130.8,-87.14,90.0,top
SW8,123.575,-87.14,270.0,top
SW9,185.275,-104.675,0.0,top
U1,113.575,-100.3,180.0,top
U2,120.255,-114.67,0.0,top
U3,185.275,-86.39,270.0,top
U4,125.2225,-100.275,180.0,top
U5,150.0,-114.2,90.0,top
U6,185.275,-97.94,270.0,top
U7,138.075,-116.075,90.0,top
U8,150.0,-87.15,0.0,top
U9,150.0,-105.725,90.0,top
