Designator,Mid X,Mid Y,Rotation,Layer
BT1,177.4,-66.91,180.0,bottom
C1,180.42,-115.52,180.0,top
C10,104.925,-113.14,0.0,top
C11,111.475,-113.14,180.0,top
C12,99.09,-97.715,270.0,top
C13,115.56,-106.605,90.0,top
C17,180.1975,-78.105,180.0,top
C2,130.14,-69.375,270.0,top
C20,150.99,-86.47,180.0,top
C21,150.99,-84.99,180.0,top
C22,141.11,-85.47,180.0,top
C23,137.29,-92.285,90.0,top
C24,140.28,-92.285,90.0,top
C25,138.78,-92.285,90.0,top
C26,101.37,-85.5675,90.0,top
C27,119.09,-98.77,90.0,top
C3,180.42,-114.045,180.0,top
C4,130.665,-110.41,180.0,top
C5,136.78,-69.375,270.0,top
C6,180.37,-110.02,180.0,top
C7,177.92,-64.94,180.0,top
C8,177.87,-61.98,0.0,top
C9,179.4225,-72.805,90.0,top
D1,131.215,-61.455,90.0,top
D10,136.215,-61.455,90.0,top
D11,116.23,-77.67,90.0,top
D12,123.96,-68.15,90.0,top
D13,107.59,-96.07,180.0,top
D2,123.96,-61.455,90.0,top
D3,124.0025,-106.55,180.0,top
D4,146.0,-76.5225,270.0,top
D5,126.46,-61.455,90.0,top
D6,133.715,-61.455,90.0,top
D7,103.225,-106.53,180.0,top
F2,102.77,-76.51,180.0,top
H1,192.7,-62.02,0.0,top
H2,192.7,-120.3,0.0,top
H3,95.87,-62.02,0.0,top
H4,95.87,-120.3,0.0,top
J1,101.82,-69.435,270.0,top
J3,128.065,-119.0375,0.0,top
J4,159.97,-74.35,180.0,top
J5,108.2,-119.0175,0.0,top
J6,95.85,-104.84,0.0,top
J8,116.32,-62.205,180.0,top
L3,146.0,-95.1,0.0,top
L4,114.34,-88.39,0.0,top
Q2,150.71,-75.46,270.0,top
R1,150.585,-78.5225,180.0,top
R10,129.065,-113.16,0.0,top
R11,132.265,-113.16,0.0,top
R14,128.82,-64.2,180.0,top
R2,146.0,-81.59,180.0,top
R21,179.4225,-68.995,270.0,top
R25,99.09,-110.365,90.0,top
R26,108.61,-110.74,0.0,top
R27,181.6,-91.625,270.0,top
R28,180.11,-91.625,270.0,top
R3,180.42,-111.505,180.0,top
R32,180.1475,-80.645,180.0,top
R34,104.88,-111.39,180.0,top
R35,125.845,-113.16,180.0,top
R39,141.11,-88.43,0.0,top
R4,153.07,-98.805,0.0,top
R40,141.11,-86.95,180.0,top
R41,146.0,-83.08,0.0,top
R42,127.31,-73.24,0.0,top
R43,127.31,-74.72,0.0,top
R44,141.3,-73.24,180.0,top
R45,141.3,-71.76,180.0,top
R46,141.3,-74.72,180.0,top
R5,128.82,-65.68,180.0,top
R6,169.05,-61.48,180.0,top
R7,177.87,-63.46,0.0,top
R8,117.57,-70.215,90.0,top
R9,114.57,-70.215,270.0,top
SW1,189.79,-73.676,0.0,top
SW10,132.65,-97.555,90.0,top
SW11,146.0,-64.9,0.0,top
SW12,171.445,-90.2,0.0,top
SW2,189.79,-85.332,0.0,top
SW3,160.015,-90.2,0.0,top
SW4,189.79,-96.988,0.0,top
SW5,189.79,-108.644,0.0,top
SW9,127.03,-97.555,90.0,top
U11,146.0,-86.97,0.0,top
U12,132.005,-83.07,0.0,top
U2,133.485,-71.15,270.0,top
U3,132.365,-106.485,90.0,top
U5,172.7,-70.9,90.0,top
U6,110.26,-106.465,90.0,top
U7,173.48,-62.23,90.0,top
U8,165.73,-110.055,180.0,top
U9,172.7,-78.74,90.0,top
